gene	tree	count
GRIK3	transporter|ion channel|ligand-gated ion channel|ionotropic glutamate receptor	4
GRIK4	transporter|ion channel|ligand-gated ion channel|ionotropic glutamate receptor	4
GRIK1	transporter|ion channel|ligand-gated ion channel|ionotropic glutamate receptor	10
GRIK2	transporter|ion channel|ligand-gated ion channel|ionotropic glutamate receptor	11
COX7C	oxidoreductase|oxidase	1
PPP3CA	hydrolase|phosphatase|protein phosphatase	1
KCNT2	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
GNRHR	receptor|G-protein coupled receptor	5
RAC2	enzyme modulator|G-protein|small GTPase	1
RAC3	enzyme modulator|G-protein|small GTPase	1
PHGDH	oxidoreductase|dehydrogenase	1
RAC1	enzyme modulator|G-protein|small GTPase	2
OXGR1	receptor|G-protein coupled receptor	1
COX8A	oxidoreductase|oxidase	1
PCYT1B	transferase|nucleotidyltransferase	1
PCYT1A	transferase|nucleotidyltransferase	1
SLC32A1	transporter|amino acid transporter	2
SYK	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	8
GAA	hydrolase|glucosidase	3
APRT	transferase|phosphoribosyltransferase	1
GAK	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	1
FSHR	extracellular matrix protein	1
IL1B	signaling molecule|cytokine|interleukin superfamily	7
KIT	transferase|kinase|protein kinase|receptor tyrosine protein kinase	25
DDR2	transferase|kinase|protein kinase|receptor tyrosine protein kinase	2
AHCY	hydrolase	2
GBA	hydrolase|glycosidase	2
HSD17B3	oxidoreductase|dehydrogenase	1
HSD17B4	oxidoreductase|dehydrogenase	2
NOXO1	oxidoreductase|oxidase	1
HSD17B6	oxidoreductase|dehydrogenase	1
COX5B	oxidoreductase|oxidase	1
HSD17B7	oxidoreductase|dehydrogenase	1
COX5A	oxidoreductase|oxidase	1
HSD17B8	oxidoreductase|dehydrogenase	1
RELA	transcription factor	9
CYP17A1	oxidoreductase|oxygenase	10
HSD17B1	oxidoreductase|dehydrogenase	7
HSD17B2	oxidoreductase|dehydrogenase	1
CHRNA10	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	7
XDH	oxidoreductase|oxidase	8
MAP3K2	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	2
GABBR2	receptor|G-protein coupled receptor	11
GABBR1	receptor|G-protein coupled receptor	17
MAP3K1	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	1
GAD1	lyase|decarboxylase	2
GAD2	lyase|decarboxylase	3
COX6C	oxidoreductase|oxidase	1
GCK	transferase|kinase|protein kinase|hexokinase	3
GRIN1	transporter|ion channel|ligand-gated ion channel|ionotropic glutamate receptor	46
VEGFA	signaling molecule|growth factor	6
KCNS1	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
KCNS2	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
KCNS3	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
NDUFAB1	transfer/carrier protein	1
NEK11	transferase|kinase|protein kinase	1
OTC	transferase	2
AMHR2	transferase|kinase|protein kinase|serine/threonine protein kinase receptor	1
MSMO1	oxidoreductase|oxidase	1
PLAT	hydrolase|protease|serine protease	4
NR3C1	transcription factor|nuclear hormone receptor	62
COX6A2	oxidoreductase|oxidase	1
YARS2	ligase|aminoacyl-tRNA synthetase	1
IGF1R	transferase|kinase|protein kinase|receptor tyrosine protein kinase	13
NR3C2	transcription factor|nuclear hormone receptor	23
PLAU	hydrolase|protease|serine protease	1
ENPP1	hydrolase|phosphatase|nucleotide phosphatase	2
CASR	transporter|ion channel|ligand-gated ion channel|ionotropic glutamate receptor	5
SDHC	oxidoreductase|dehydrogenase	1
SDHD	oxidoreductase|dehydrogenase	2
SDHA	oxidoreductase|oxidase	1
SDHB	oxidoreductase|dehydrogenase	1
COX6B1	oxidoreductase|oxidase	1
SCNN1G	transporter|ion channel	6
SCNN1D	transporter|ion channel	3
SCNN1B	transporter|ion channel	6
SCNN1A	transporter|ion channel	6
PPIF	isomerase	2
RAF1	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	12
PPIA	isomerase	2
DDX6	nucleic acid binding|RNA binding protein|RNA helicase	1
NNMT	transferase|methyltransferase	1
NDUFB10	oxidoreductase|reductase	1
CACNA1B	transporter|ion channel|voltage-gated ion channel|voltage-gated sodium channel	11
CACNA1A	transporter|ion channel|voltage-gated ion channel|voltage-gated sodium channel	7
CACNA1D	transporter|ion channel|voltage-gated ion channel|voltage-gated sodium channel	19
CACNA1C	transporter|ion channel|voltage-gated ion channel|voltage-gated sodium channel	31
GLYAT	transferase	1
CACNA1F	transporter|ion channel|voltage-gated ion channel|voltage-gated sodium channel	14
PLD1	hydrolase|lipase|phospholipase	2
CACNA1E	transporter|ion channel|voltage-gated ion channel|voltage-gated sodium channel	3
CACNA1H	transporter|ion channel|voltage-gated ion channel|voltage-gated sodium channel	19
CACNA1G	transporter|ion channel|voltage-gated ion channel|voltage-gated sodium channel	17
PLD2	hydrolase|lipase|phospholipase	2
CACNA1I	transporter|ion channel|voltage-gated ion channel|voltage-gated sodium channel	15
KCNV1	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
KCNV2	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
CACNA1S	transporter|ion channel|voltage-gated ion channel|voltage-gated sodium channel	18
YARS	ligase|aminoacyl-tRNA synthetase	1
MGAM	hydrolase|glucosidase	5
PDHA2	oxidoreductase|dehydrogenase	1
PDHA1	oxidoreductase|dehydrogenase	2
VCAM1	hydrolase|phosphatase|protein phosphatase	1
RARRES1	transmembrane receptor regulatory/adaptor protein	1
IGF2R	receptor	1
GNAS	enzyme modulator|G-protein|heterotrimeric G-protein	2
UBA3	transfer/carrier protein	1
ALPL	hydrolase|phosphatase	1
TCF4	transcription factor|basic helix-loop-helix transcription factor	1
TAT	transferase|transaminase	3
PCTP	transfer/carrier protein	1
GRM1	receptor|G-protein coupled receptor	15
LTB4R	receptor|G-protein coupled receptor	2
GHR	receptor|cytokine receptor|type I cytokine receptor	1
GRM3	receptor|G-protein coupled receptor	7
GRM2	receptor|G-protein coupled receptor	7
CA1	lyase|dehydratase	32
GRM5	receptor|G-protein coupled receptor	20
GRM4	receptor|G-protein coupled receptor	8
CA3	lyase|dehydratase	4
GRM7	receptor|G-protein coupled receptor	5
CA2	lyase|dehydratase	37
GRM6	receptor|G-protein coupled receptor	4
CA4	lyase|dehydratase	25
GRM8	receptor|G-protein coupled receptor	7
CA7	lyase|dehydratase	12
CA6	lyase|dehydratase	12
CA9	lyase|dehydratase	17
CA8	lyase|dehydratase	1
PDPK1	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	9
CAD	transferase	1
CYP4A11	oxidoreductase|oxygenase	1
MKL1	transcription factor	1
ACTA1	cytoskeletal protein|actin family cytoskeletal protein|actin and actin related protein	1
ACOX1	oxidoreductase|oxidase	1
CAT	oxidoreductase|peroxidase	1
MAN1B1	chaperone	1
FBP1	hydrolase|phosphatase|carbohydrate phosphatase	2
SLC3A1	hydrolase|amylase	1
NT5C2	hydrolase|phosphatase|nucleotide phosphatase	2
PSMB10	hydrolase|protease	2
CRYZ	oxidoreductase|dehydrogenase	1
CYTH2	membrane traffic protein|membrane trafficking regulatory protein	1
GNG2	enzyme modulator|G-protein|heterotrimeric G-protein	1
CNR2	receptor|G-protein coupled receptor	12
CBS	lyase|dehydratase	2
CNR1	receptor|G-protein coupled receptor	17
OXCT1	transferase	2
SV2A	transporter	1
MKNK1	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	1
MKNK2	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	1
PTK2B	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	3
OXCT2	transferase	1
TRDMT1	transferase|methyltransferase	1
RRM1	oxidoreductase|reductase	9
RRM2	oxidoreductase|reductase	8
HSD3B2	lyase|dehydratase	2
HSD3B1	lyase|dehydratase	2
WARS2	ligase|aminoacyl-tRNA synthetase	1
